工程名称,建设单位,施工单位,备案编号,备案部门,备案日期
锅炉房等2项（昌平区东小口镇住宅混合公建用地（配建公共租赁住房）项目）,北京京投银泰尚德置业有限公司,中国新兴保信建设总公司,0603昌竣2016(建)0058号,昌平区住房城乡建设委,2016/7/28
D1#楼等3项(昌平区北七家镇（平西府组团土地一级开发项目（北区）地块）二类居住、商业金融、托幼用地项目（配建限价商品住房）),北京世纪鸿城置业有限公司,北京城建道桥建设集团有限公司,0602昌竣2016(建)0057号,昌平区住房城乡建设委,2016/7/28
5-6#厂房等22项（北京兰格加华产业园工业厂房及配套设施项目）3-1-1#厂房、3-2#厂房,北京兰格加华置业有限公司,北京通州次渠建筑集团有限公司,0601通竣2016(建)0067号,通州区住房城乡建设委,2016/7/27
住宅等2项-9#住宅,北京京北鑫民房地产开发有限公司,北京怀建集团贵强建筑工程有限公司,0600怀竣2016(建)0020号,怀柔区住房城乡建设委,2016/7/27
教二楼（中国科学院研究生院新园区建设项目）、EB04-学园三（中国科学院新园区建设）、学园四（中国科学院研究生院新园区建设项目）,中国科学院大学,中建三局集团有限公司,0599怀竣2016(建)0019号,怀柔区住房城乡建设委,2016/7/27
中国石油鼓楼外大街1号楼外墙外保温工程,中国石油天然气集团公司机关服务中心,河南省建安防水防腐工程有限公司,0116朝竣2016(装)0106号,朝阳区住房城乡建设委,2016/7/27
商业办公等2项（原官园花鸟鱼虫市场改造项目）,北京金全欣和投资管理有限公司,北京城乡建设集团有限责任公司,0598西竣2016(建)0047号,西城区住房城市建设委,2016/7/26
夕照寺西里6号楼修缮工程,北京市东城区房屋土地经营管理二中心,北京大龙建设集团有限公司,0115东竣2016(装)0040号,东城区住房城市建设委,2016/7/26
12#办公及商业楼（地铁大兴线枣园路站居住及多功能（一期、三期）项目）,北京中建兴华房地产开发有限公司,南通启益建设集团有限公司,0597大竣2016(建)0069号,大兴区住房城乡建设委,2016/7/25
11#办公及商业楼（地铁大兴线枣园路站居住及多功能（一期、三期）项目）,北京中建兴华房地产开发有限公司,南通启益建设集团有限公司,0596大竣2016(建)0068号,大兴区住房城乡建设委,2016/7/25
石景山区五里坨供水厂工程,北京市石景山区自来水公司,中铁二十二局集团有限公司,0157石竣2016(市政)0016号,石景山区住房城乡建设委,2016/7/25
京香青科项目C8号科研楼、B区1#科研楼工程,永泰房地产(集团)有限公司,河北建设集团有限公司,0595海竣2016(建)0071号,海淀区住房城乡建设委,2016/7/25
中央财经大学沙河校区一期（3）C6-14、C6-15学生宿舍工程,中央财经大学,北京城建六建设集团有限公司,0594昌竣2016(建)0056号,昌平区住房城乡建设委,2016/7/22
研发楼及地下车库1段（北京领先基业科技有限公司研发中心项目）,北京领先基业科技有限公司,山西一建集团有限公司,0593昌竣2016(建)0055号,昌平区住房城乡建设委,2016/7/22
北京外城东南角楼修复工程,北京市东城区文物管理所,北京房修一建筑工程有限公司,0592东竣2016(建)0039号,东城区住房城市建设委,2016/7/22
华贸耀莱新天地小影院室内装修工程,北京耀莱腾龙国际影城管理有限公司,北京光中装饰工程有限公司,0114朝竣2016(装)0105号,朝阳区住房城乡建设委,2016/7/22
门头沟区门头新城MC16-073等地块住宅混合公建、商业金融、托幼及医疗卫生用地（配建“限价商品住房”）项目077-4#综合楼、077-5#综合楼、077-6#地下车库,北京住总众邦地产有限公司,中建二局第三建筑工程有限公司,0591门竣2016(建)0024号,门头沟区住房城乡建设委,2016/7/21
门头沟区门头新城MC16-073等地块住宅混合公建、商业金融、托幼及医疗卫生用地（配建“限价商品住房”）项目077-1#综合楼、077-2#办公楼、077-3#综合楼、077-7#开闭站,北京住总众邦地产有限公司,中建二局第三建筑工程有限公司,0590门竣2016(建)0023号,门头沟区住房城乡建设委,2016/7/21
"1#生产厂房、2#生产厂房、3#生产厂房		",北京市大禹王防水工程集团有限公司,华宸建设集团股份有限公司,0589大竣2016(建)0067号,大兴区住房城乡建设委,2016/7/21
天俞（北京）投资基金管理有限公司办公室内装修工程,天俞（北京）投资基金管理有限公司,北京中建华腾装饰工程有限公司,0113朝竣2016(装)0104号,朝阳区住房城乡建设委,2016/7/21
酒仙桥路、将台路热力管线工程,北京正东电子动力集团有限公司,中恒建设集团有限公司,0156朝竣2016(市政)0103号,朝阳区住房城乡建设委,2016/7/21
展厅及车间装修工程,北京祥龙博瑞汽车服务（集团）有限公司,中盛金源(北京)建设有限公司,0112西竣2016(装)0046号,西城区住房城市建设委,2016/7/21
中国工商银行北京市分行西客站支行马连道茶城综合营业网点装饰装修项目,中国工商银行股份有限公司北京西客站支行,北京菲尼有限公司,0111西竣2016(装)0045号,西城区住房城市建设委,2016/7/21
1#居住公共服务设施等3项、4#公租房、9#地下车库（丰台区花乡樊家村危改9号地居住用地（配建公共租赁住房）项目）,北京懋源房屋开发有限公司,保利建设集团有限公司,0588丰竣2016(建)0042号,丰台区住房城乡建设委,2016/7/20
A2#住宅楼等9项（昌平区北七家镇（平西府组团土地一级开发项目（北区）地块）二类居住、商业金融、托幼用地项目（配建限价商品住房））A1#公共服务楼、A2#住宅楼、A区地下车库、1#人防出口及通道、3#人防出口及通道,北京世纪鸿城置业有限公司,北京城建北方建设有限责任公司,0587昌竣2016(建)0054号,昌平区住房城乡建设委,2016/7/20
A2#住宅楼等9项（昌平区北七家镇（平西府组团土地一级开发项目（北区）地块）二类居住、商业金融、托幼用地项目（配建限价商品住房））A3#住宅楼、A4#住宅楼、A5#公厕及密闭式清洁站、A6#锅炉房及消防泵房）,北京世纪鸿城置业有限公司,北京城建八建设发展有限责任公司,0586昌竣2016(建)0053号,昌平区住房城乡建设委,2016/7/20
D-1经适房住宅楼等9项（朝阳区东坝驹东经济适用房C、D地块项目）,华瀚投资集团有限公司,北京市朝阳田华建筑集团公司,0585朝竣2016(建)0102号,朝阳区住房城乡建设委,2016/7/19
