单位名称,许可备案号,许可有效期,注册地址,场所地址,法人姓名
北京恒得利电子游艺有限责任公司,海文游艺053号,2017-12-28,海淀区中关村大街18号8层03号,海淀区中关村大街18号8层03号,陈明
北京宏图益智文化传媒有限公司,海文游艺057号,2017-12-28,北京市海淀区羊坊店路18号2幢4层401,北京市海淀区羊坊店路18号2幢4层401,杨廷现
北京浩鑫电子游戏有限公司,门文游12008,2017-12-27,双峪路35号院1号楼6层,双峪路35号院1号楼6层,余军
北京华信天晨休闲健身娱乐有限公司,海文游艺041号,2017-12-23,海淀区海淀大街42号1幢地下一层（局部）,海淀区海淀大街42号1幢地下一层（局部）,李德云
北京金尚嘉业娱乐有限责任公司,海文游艺046号,2017-12-23,海淀区花园路C2号,海淀区花园路C2号,朱文红
北京梦幻星空休闲健身娱乐有限公司,海文游艺051号,2017-12-23,海淀区清河安宁庄东路18号23号楼北侧一层,海淀区清河安宁庄东路18号23号楼北侧一层,徐世伟
北京福美乐彩文化有限公司,海文游艺003号,2017-12-22,北京市海淀区学清路甲18号五层,北京市海淀区学清路甲18号五层,孙志涛
北京伊冠联休闲健身娱乐有限公司,海文游艺004号,2017-12-22,海淀区花园路F2号二层,海淀区花园路F2号二层,熊云剑
北京盖姆科技有限公司,海文游艺005号,2017-12-22,海淀区远大路1号地下一层B12,海淀区远大路1号地下一层B12,苗在芳
北京耀逍遥电子游艺有限公司,海文游艺007号,2017-12-22,海淀区花园路甲13号院7号楼2层201号,海淀区花园路甲13号院7号楼2层201号,范三根
北京东方酷炫娱乐游艺有限公司,海文游艺010号,2017-12-22,海淀区复兴路42号15号楼三层北侧,海淀区复兴路42号15号楼三层北侧,薛国祥
北京乐彩阳光文化有限公司,海文游艺011号,2017-12-22,海淀区祁家豁子甲2号19号平房地下一层,海淀区祁家豁子甲2号19号平房地下一层,张文丽
北京鑫鑫圣达娱乐有限公司,海文游艺012号,2017-12-22,北京海淀区莲花池东路31号二层西北侧,北京海淀区莲花池东路31号二层西北侧,徐丽雪
北京金路高歌文化娱乐有限公司,海文游艺014号,2017-12-22,北京市海淀区上地信息路甲28号科实大厦B座负一层北侧,北京市海淀区上地信息路甲28号科实大厦B座负一层北侧,周永丰
北京市海淀魏公村游艺厅,海文游艺015号,2017-12-22,北京市海淀区魏公村小区甲29号,北京市海淀区魏公村小区甲29号,马广利
北京动感风暴娱乐有限公司,海文游艺019号,2017-12-22,海淀区知春路20号中国医药大厦西配楼（二、三层）,海淀区知春路20号中国医药大厦西配楼（二、三层）,李庆亮
北京维乐佳电子游艺有限公司,海文游艺020号,2017-12-22,海淀区北三环中路40号57幢二、三层,海淀区北三环中路40号57幢二、三层,崔高勇
北京丰盈阁娱乐有限公司,海文游艺021号,2017-12-22,海淀区花园北路甲12号二层,海淀区花园北路甲12号二层,徐波
北京紫雨风暴文化发展有限公司,海文游艺022号,2017-12-22,海淀区中关村大街18号6层A01号,北京市海淀区中关村大街18号六层A01,卢树春
北京银海漫游休闲健身娱乐有限公司,海文游艺026号,2017-12-22,北京市海淀区四道口2号1号楼1层,北京市海淀区四道口2号1号楼1层,余金梅
北京市海淀工人文化宫,海文游艺027号,2017-12-22,海淀区万柳华府北街2号（地下一层局部）,海淀区万柳华府北街2号（地下一层局部）,盛健
北京胜通盛世文化有限公司,海文游艺028号,2017-12-22,西苑草场5号畅春园饭店3号楼B01,西苑草场5号畅春园饭店3号楼B01,刘通
北京百乐无限电子游艺有限公司,海文游艺029号,2017-12-22,海淀区颐和园路208号8-11（一、二层局部）,海淀区颐和园路208号8-11（一、二层局部）,谢云
北京百川汇金娱乐中心,海文游艺030号,2017-12-22,海淀区金沟河路26号平房,北京市海淀区金沟河路26号平房,王建海
北京天界方舟电子游艺厅有限公司,海文游艺033号,2017-12-22,海淀区学院南路50号二层局部,海淀区学院南路50号二层局部,陈玉珠
北京超乐园科技发展有限公司,海文游艺034号,2017-12-22,海淀区宝盛里北里西区28号楼（五层局部）,海淀区宝盛里北里西区28号楼（五层局部）,孙永志
北京莱利娱乐有限公司,海文游艺035号,2017-12-22,海淀区远大路1号北京金源时代购物中心5-16-2,海淀区远大路1号北京金源时代购物中心5-16-2,苗在芳
北京科星乐园电子技术有限公司,海文游艺036号,2017-12-22,海淀区中关村南大街17号3号楼B01,海淀区中关村南大街17号3号楼B01,王雷
北京赢世纪元电子游艺有限公司,海文游艺038号,2017-12-22,海淀区远大西路29号地下一层,海淀区远大西路29号地下一层,孙翔涛
北京欧凯阳光科技有限公司,海文游艺039号,2017-12-22,海淀区清河毛纺路（清河供应站）7幢2层201,海淀区清河毛纺路（清河供应站）7栋2层201,吴永杰
北京超炫特电子游艺有限责任公司,海文游艺042号,2017-12-22,海淀区清河西小口路87号院1号楼三单元一层底商,海淀区清河西小口路87号院1号楼三单元一层底商,张小霞
